load_zone,stage_id,timepoint,load_mw
CAISO,1,20203023,23862.61022
CAISO,1,20203024,22331.42954
CAISO,1,20203101,21861.2223
CAISO,1,20203102,21210.94525
CAISO,1,20203103,20776.05252
CAISO,1,20203104,21122.50569
CAISO,1,20203105,22552.10657
CAISO,1,20203106,24465.64431
CAISO,1,20203107,25868.93052
CAISO,1,20203108,26916.44801
CAISO,1,20203109,27500.50484
CAISO,1,20203110,28026.25037
CAISO,1,20203111,28364.40789
CAISO,1,20203112,28289.53163
CAISO,1,20203113,28324.97009
CAISO,1,20203114,28391.46001
CAISO,1,20203115,27890.45428
CAISO,1,20203116,27445.81279
CAISO,1,20203117,27009.10411
CAISO,1,20203118,26571.49971
CAISO,1,20203119,27419.07569
CAISO,1,20203120,28747.98545
CAISO,1,20203121,28192.91226
CAISO,1,20203122,26276.27527
CAISO,1,20203123,24266.8801
CAISO,1,20203124,22642.00485
CAISO,1,20203201,22185.85105
CAISO,1,20203202,21674.30604
CAISO,1,20203203,21384.83956
CAISO,1,20203204,21465.43782
CAISO,1,20203205,22713.65669
CAISO,1,20203206,24524.54476
CAISO,1,20203207,26054.62391
CAISO,1,20203208,27092.56809
CAISO,1,20203209,27781.73173
CAISO,1,20203210,28339.57849
CAISO,1,20203211,28518.10912
CAISO,1,20203212,28387.03295
CAISO,1,20203213,28425.79505
CAISO,1,20203214,28181.94603
CAISO,1,20203215,27693.25977
CAISO,1,20203216,27075.57305
CAISO,1,20203217,26557.47614
CAISO,1,20203218,26249.42648
CAISO,1,20203219,27172.22083
CAISO,1,20203220,28657.68927
CAISO,1,20203221,28168.27757
CAISO,1,20203222,26567.67784
CAISO,1,20203223,24515.70309
CAISO,1,20203224,22835.35564
CAISO,1,20203301,21700.95662
CAISO,1,20203302,20944.24363
CAISO,1,20203303,20760.93133
CAISO,1,20203304,20662.76884
CAISO,1,20203305,20894.43856
CAISO,1,20203306,20935.3475
CAISO,1,20203307,21456.73093
CAISO,1,20203308,22743.16461
CAISO,1,20203309,23730.58382
CAISO,1,20203310,24304.24599
